,district,user_count
177,chikkaballapur,1031
870,the nilgiris,1031
948,west midnapore,1032
519,madhepura,1032
249,durg,1034
863,tarn taran,1035
574,moradabad,1037
668,parbhani,1038
953,west tripura,1051
81,banswara,1051
421,kannauj,1056
365,jalaun,1059
878,tikamgarh,1066
199,dakshin dinajpur,1066
383,jehanabad,1067
418,kandhamal,1070
812,sirohi,1076
714,raisen,1081
646,north twenty four parganas,1082
43,ariyalur,1084
36,angul,1085
235,dibrugarh,1086
330,haridwar,1086
452,khargone,1087
161,chandauli,1089
796,shivpuri,1089
760,sambalpur,1090
42,araria,1091
793,shimla,1091
750,saharsa,1093
602,nalbari,1097
379,janjgir-champa,1097
823,sonipat,1102
525,maharajganj,1111
784,shahjahanpur,1112
761,sambhal,1114
766,sant kabir nagar,1117
785,shajapur,1118
247,dumka,1118
123,bhiwani,1124
730,rangareddi,1124
763,sangareddy,1127
387,jhalawar,1132
546,mandsaur,1132
367,jalna,1133
351,idukki,1134
280,firozabad,1135
622,nayagarh,1147
609,nandurbar,1159
650,osmanabad,1160
847,srinagar,1162
111,betul,1162
282,gadag,1167
230,dhenkanal,1167
424,kanpur dehat,1169
534,mainpuri,1169
397,jorhat,1170
338,hazaribagh,1177
13,akola,1186
356,jagatsinghapur,1186
89,bardhaman,1190
647,north west delhi,1194
879,tinsukia,1199
66,ballari,1199
26,amreli,1202
779,seraikela-kharsawan,1205
663,panchmahals,1206
319,gwalior,1206
287,gandhinagar,1208
804,siddharthnagar,1208
559,medchal-malkajgiri,1209
62,balaghat,1229
122,bhind,1231
296,gautam buddha nagar,1231
795,shivamogga,1234
494,kushinagar,1236
721,rajsamand,1247
580,mumbai city,1250
301,giridih,1250
749,saharanpur,1253
388,jhansi,1267
274,farrukhabad,1269
794,shimoga,1269
470,kolar,1274
164,chandrapur,1275
317,gurgaon,1275
939,west champaran,1277
94,barpeta,1280
916,valsad,1281
477,koppal,1284
232,dhubri,1307
829,south delhi,1309
172,chhatarpur,1309
288,ganganagar,1311
368,jalor,1313
871,theni,1323
258,east midnapore,1328
409,kalahandi,1331
257,east khasi hills,1332
363,jajpur,1337
464,koch bihar,1345
553,mau,1346
310,gopalganj,1347
127,bidar,1347
119,bharuch,1349
316,gurdaspur,1360
504,latur,1361
437,kasaragod,1365
334,haveri,1369
79,banka,1372
347,hoshiarpur,1373
441,katihar,1378
324,haora,1379
774,sawai madhopur,1381
838,south west delhi,1384
478,koraput,1387
185,chittorgarh,1396
101,beed,1400
91,bargarh,1402
332,hassan,1405
141,budaun,1407
853,supaul,1407
355,jabalpur,1409
174,chhindwara,1412
362,jajapur,1413
429,karauli,1420
32,ananthapur,1421
911,uttar dinajpur,1430
902,ujjain,1433
586,muzaffarnagar,1434
263,east singhbhum,1440
71,balrampur,1441
713,raipur,1442
620,nawada,1442
426,kanyakumari,1449
248,dungarpur,1464
564,meerut,1471
210,dausa,1474
136,bokaro,1482
233,dhule,1484
150,buxar,1485
856,surendra nagar,1498
907,unnao,1501
544,mandi,1507
188,churu,1519
215,dehradun,1521
734,ratnagiri,1530
422,kanniyakumari,1534
436,karur,1535
277,fatehpur,1538
131,bikaner,1539
837,south twenty four parganas,1543
105,bellary,1545
675,pathanamthitta,1548
146,buldhana,1553
433,karimganj,1561
27,amritsar,1565
181,chitradurga,1568
73,banaskantha,1576
702,puri,1578
59,bahraich,1585
704,purnia,1589
961,yavatmal,1591
408,kalaburagi,1596
90,bareilly,1597
748,sagar,1597
773,satna,1603
547,mandya,1612
97,basti,1616
529,mahesana,1618
328,hardoi,1624
445,kendrapara,1633
957,yadgir,1634
226,dharmapuri,1644
125,bhopal,1645
657,palghar,1646
321,hamirpur,1652
588,mysore,1656
741,rohtas,1660
206,darjeeling,1663
814,sitamarhi,1672
212,davangere,1673
893,tumakuru,1679
217,deoria,1680
481,kota,1681
372,jamnagar,1683
312,gulbarga,1685
747,sabarkantha,1686
552,mathura,1699
894,tumkur,1701
415,kamrup metro,1711
697,purba bardhaman,1713
589,mysuru,1714
601,nalanda,1718
815,sitapur,1720
227,dharwad,1729
92,barmer,1742
23,ambedkar nagar,1743
102,begusarai,1746
130,bijnor,1750
824,sonitpur,1754
486,krishnagiri,1756
403,kachchh,1779
116,bhagalpur,1782
594,nagaon,1784
709,raichur,1788
850,sultanpur,1801
24,amethi,1806
63,balangir,1814
371,jammu,1816
455,kheri,1816
900,udupi,1823
728,ranchi,1824
298,ghaziabad,1828
354,indore,1828
414,kamrup,1831
912,uttara kannada,1835
737,rewa,1847
120,bhavnagar,1852
398,junagadh,1856
364,jalandhar,1875
54,bagalkot,1883
852,sundergarh,1889
25,amravati,1902
447,kendujhar,1929
121,bhilwara,1932
921,vijayapura,1944
33,ananthapuramu,1967
132,bilaspur,1974
115,bhadrak,1975
4,agra,1979
190,cooch behar,1979
454,kheda,2000
30,anand,2001
271,faizabad,2011
456,khorda,2021
724,ramanathapuram,2027
608,nanded,2044
718,rajkot,2052
15,aligarh,2055
306,gonda,2058
537,malda,2068
118,bharatpur,2081
83,bara banki,2090
297,gaya,2095
764,sangli,2113
706,puruliya,2116
128,bijapur,2121
917,varanasi,2125
2,adilabad,2127
928,vizianagaram,2127
816,sivaganga,2146
223,dhanbad,2150
604,namakkal,2160
925,virudhunagar,2180
144,bulandshahr,2190
65,baleswar,2277
67,ballia,2285
915,vaishali,2287
707,rae bareli,2297
658,pali,2297
482,kottayam,2307
124,bhojpur,2309
874,thiruvarur,2338
517,ludhiana,2351
772,satara,2369
896,udaipur,2369
846,srikakulam,2377
348,howrah,2383
299,ghazipur,2400
392,jhunjhunun,2419
241,dindigul,2426
205,darbhanga,2429
133,birbhum,2430
14,alappuzha,2436
450,khammam,2436
595,nagapattinam,2448
693,pudukkottai,2450
886,tiruppur,2454
395,jodhpur,2471
758,samastipur,2481
818,siwan,2492
419,kangra,2504
631,nizamabad,2525
251,east champaran,2526
12,ajmer,2528
930,warangal,2530
268,erode,2553
311,gorakhpur,2555
194,cuttack,2556
31,anantapur,2570
875,thoothukkudi,2574
151,cachar,2581
425,kanpur nagar,2601
18,allahabad,2626
520,madhubani,2635
